source_host,dest_host,negative_average_owd
lpsc-perfsonar2.in2p3.fr,psonar1.lal.in2p3.fr,-1498.4468236538842
sonar2.itim-cj.ro,ps1.ochep.ou.edu,-883.8527194396006
117.103.105.191,psonar2.lal.in2p3.fr,-1333.1312182047238
lhc-latency.twgrid.org,ps1.ochep.ou.edu,-422.0439579240716
sbgperfps1.in2p3.fr,psonar1.lal.in2p3.fr,-2195.746627988514
mwt2-ps03.campuscluster.illinois.edu,osg.chic.nrp.internet2.edu,-1.0656700387431293
perfsonar.unl.edu,osg.kans.nrp.internet2.edu,-3.180774972239455
psonar3.fnal.gov,osg.chic.nrp.internet2.edu,-1.5260404207589615
grid-perf1.physik.rwth-aachen.de,perflat.ciemat.es,-89.85640646420818
grid-perf1.physik.rwth-aachen.de,psonar1.lal.in2p3.fr,-1385.184443029779
atrogr007.nipne.ro,ps1.ochep.ou.edu,-740.374988588291
perfsonar1.hep.kbfi.ee,perflat.ciemat.es,-79.2477099893473
perfsonar1.hep.kbfi.ee,psonar1.lal.in2p3.fr,-1597.763137836871
144.206.131.133,btw-lat.grid.kiae.ru,-3.0961085499312446
144.206.131.133,psum01.itep.ru,-0.5588013875507619
144.206.131.133,btw-lat.t1.grid.kiae.ru,-1.4957694666788155
2001:67c:1bdc:100::133,psum01.itep.ru,-0.515960308869702
159.93.229.150,t2-pfsn1.jinr.ru,-0.07443094895997945
2a05:81c5:301:228::e596,t2-pfsn1.jinr.ru,-0.07080900300495761
129.93.5.165,163.253.71.2,-4.67555995656091
perfsonar01.ft.uam.es,perfsonar02-iep-grid.saske.sk,-1853431805952.0
